Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a subset of AI that enables computers to learn from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What is NLP?,Natural Language Processing enables computers to understand and process human language.
What is Python?,Python is a high-level programming language.
Who developed Python?,Python was developed by Guido van Rossum.
What is OpenCV?,OpenCV is an open-source computer vision library.
What is TensorFlow?,TensorFlow is an open-source deep learning framework.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is Data Science?,Data Science is the field of extracting knowledge from data.
Question,Answer
Hello,Hello! How can I help you today?
Hi,Hi! How can I assist you today?
Hey,Hello! Nice to meet you.
Good Morning,Good Morning! Have a great day.
Good Afternoon,Good Afternoon! How can I help you?
Good Evening,Good Evening! Hope you are doing well.
How are you?,I am doing great. Thank you for asking.
What is your name?,I am an AI FAQ Chatbot.
Who created you?,I was created using Python NLTK Scikit-learn and Streamlit.
What can you do?,I can answer questions based on my FAQ database.
Thank you,You are welcome.
Thanks,Happy to help.
Bye,Goodbye! Have a wonderful day.
See you,See you soon.
Who are you?,I am an AI chatbot developed for answering frequently asked questions.
Are you human?,No. I am an AI chatbot.
Can you help me?,Yes. I will try my best to help you.
What is AI?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a branch of AI where computers learn from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Python?,Python is a popular programming language used for AI web development automation and data science.
Who developed Python?,Python was developed by Guido van Rossum.
What is Java?,Java is an object oriented programming language.
What is C?,C is a powerful programming language used for system programming.
What is C++?,C++ is an extension of the C programming language.
What is JavaScript?,JavaScript is used to make websites interactive.
What is HTML?,HTML is the standard language used to create web pages.
What is CSS?,CSS is used to style web pages.
What is SQL?,SQL is a language used to manage databases.
What is a database?,A database is a collection of organized data.
What is OpenCV?,OpenCV is an open source computer vision library.
What is TensorFlow?,TensorFlow is an open source deep learning framework.
What is Pandas?,Pandas is a Python library used for data analysis.
What is NumPy?,NumPy is a Python library used for numerical computing.
What is Scikit-learn?,Scikit-learn is a machine learning library for Python.
What is Streamlit?,Streamlit is a Python framework for creating web applications.
What is Git?,Git is a version control system.
What is GitHub?,GitHub is a platform used to host Git repositories.
What is Data Science?,Data Science is the study of extracting useful information from data.
What is Cloud Computing?,Cloud Computing provides computing services through the internet.
What is Cyber Security?,Cyber Security protects systems and networks from attacks.
What is an algorithm?,An algorithm is a step by step procedure to solve a problem.
What is RAM?,RAM is temporary memory used while a computer is running.
What is CPU?,CPU is the main processor of a computer.
What is GPU?,GPU is mainly used for graphics processing and AI computations.
What is the Internet?,The Internet is a worldwide network connecting millions of computers.
What is WiFi?,WiFi is a wireless networking technology.
What is an operating system?,An operating system manages computer hardware and software.
What is Windows?,Windows is an operating system developed by Microsoft.
What is Linux?,Linux is a free and open source operating system.
What is Android?,Android is a mobile operating system developed by Google.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is computer?,A computer is an electronic device that processes data.
What is software?,Software is a collection of programs that perform tasks.
What is hardware?,Hardware refers to the physical parts of a computer.
What is programming?,Programming is the process of writing computer instructions.
What is coding?,Coding means writing instructions in a programming language.
What is AI used for?,AI is used in healthcare education finance robotics and many other fields.
What is machine learning used for?,Machine Learning is used for prediction recommendation and data analysis.
What is deep learning used for?,Deep Learning is used for image recognition speech recognition and natural language processing.
What is chatbot?,A chatbot is a computer program that interacts with users through conversation.
What is web development?,Web development is the process of building websites and web applications.
What is frontend development?,Frontend development focuses on the user interface of websites.
What is backend development?,Backend development handles server logic databases and APIs.
What is full stack development?,Full stack development includes both frontend and backend development.
What is API?,API stands for Application Programming Interface and allows software to communicate.
What is JSON?,JSON is a lightweight format for storing and exchanging data.
What is CSV?,CSV stands for Comma Separated Values and is used to store tabular data.
What is file handling?,File handling allows programs to read and write files.
What is OOP?,Object Oriented Programming organizes code using classes and objects.
What is inheritance?,Inheritance allows one class to use properties of another class.
What is polymorphism?,Polymorphism allows methods to behave differently based on objects.
What is encapsulation?,Encapsulation hides data inside classes.
What is abstraction?,Abstraction hides implementation details and shows only essential features.
What is recursion?,Recursion is when a function calls itself.
What is loop?,A loop repeats a block of code multiple times.
What is function?,A function is a reusable block of code.
What is variable?,A variable stores data in memory.
What is list?,A list is an ordered collection of items in Python.
What is tuple?,A tuple is an immutable collection in Python.
What is dictionary?,A dictionary stores data as key value pairs.
What is set?,A set stores unique values.
What is compiler?,A compiler converts source code into machine code.
What is interpreter?,An interpreter executes code line by line.